,beta,alpha,d,v,s,k,range_scenario,A_v_k
44,0.0,0.0,0.0,0,0,s44,61.769468746514285,0
45,0.0,0.0,0.0,0,0,s45,81.89738665841813,0
46,1.0,0.0,3.080685590856205,0,0,s46,34.38087529874873,1
47,1.0,0.0,3.080685590856205,0,0,s47,40.24976752760708,1
48,1.0,0.0,3.080685590856205,0,0,s48,71.88662334295277,1
49,1.0,0.0,3.080685590856205,0,0,s49,24.62330036670579,1
50,0.0,0.0,0.0,0,0,s50,87.41060285671354,0
51,0.0,0.0,0.0,0,0,s51,119.69847273099322,0
52,1.0,0.0,3.080685590856205,0,0,s52,95.29366170551296,1
53,0.0,0.0,0.0,0,0,s53,98.40078204567212,0
54,1.0,0.0,3.080685590856205,0,0,s54,46.43780438955731,1
